algorithm,outcome,model,feature_set,rsq_median,rsq_sd,feature_version,id
glmnet,continuous,normal,all_incoming,0.07032220382620485,0.01663837916800593,features_cell_v1_network_v2,94
glmnet,continuous,normal,all_outgoing,0.05000878854594348,0.014140708085683587,features_cell_v1_network_v2,95
glmnet,continuous,normal,all_bidirectional,0.05998766166864379,0.013019991584485371,features_cell_v1_network_v2,96
glmnet,continuous,poisson,raw_incoming,0.05474968630172649,0.018020889299606282,features_cell_v1_network_v3,97
glmnet,continuous,poisson,raw_outgoing,0.04907409066785215,0.009685349032125585,features_cell_v1_network_v3,98
glmnet,continuous,poisson,raw_bidirectional,0.046578603367931945,0.017720282853524172,features_cell_v1_network_v3,99
glmnet,continuous,poisson,prop_incoming,0.14344563020343698,0.015475710261781689,features_cell_v1_network_v3,100
glmnet,continuous,poisson,prop_bidirectional,0.14344563020343698,0.015475710261781689,features_cell_v1_network_v3,101
glmnet,continuous,poisson,all_incoming,0.08789123596743403,0.012820807092389135,features_cell_v1_network_v3,102
glmnet,continuous,poisson,all_outgoing,0.09135462462769615,0.013251911197093975,features_cell_v1_network_v3,103
glmnet,continuous,poisson,all_bidirectional,0.09135462462769615,0.013290081614901795,features_cell_v1_network_v3,104
glmnet,continuous,normal,raw_incoming,0.05218305605676167,0.007614800983573449,features_cell_v1_network_v3,105
glmnet,continuous,normal,raw_outgoing,0.0379363833751924,0.012746011639787294,features_cell_v1_network_v3,106
glmnet,continuous,normal,raw_bidirectional,0.03713656741220346,0.0072574281279841795,features_cell_v1_network_v3,107
glmnet,continuous,normal,prop_incoming,0.14367397781827423,0.01545210699586523,features_cell_v1_network_v3,108
glmnet,continuous,normal,prop_bidirectional,0.14367397781827423,0.01545210699586523,features_cell_v1_network_v3,109
glmnet,continuous,normal,all_incoming,0.08799006235356305,0.012234796907886607,features_cell_v1_network_v3,110
glmnet,continuous,normal,all_outgoing,0.09610563388712251,0.012904540298745616,features_cell_v1_network_v3,111
glmnet,continuous,normal,all_bidirectional,0.09687660848000731,0.013335679613149133,features_cell_v1_network_v3,112
glmnet,continuous,poisson,raw_incoming,0.0604512383974555,0.016191109965706083,features_cell_v1_network_v4,113
glmnet,continuous,poisson,raw_outgoing,0.043816828265162776,0.014116888376779624,features_cell_v1_network_v4,114
glmnet,continuous,poisson,raw_bidirectional,0.051301887163550816,0.014361324271961417,features_cell_v1_network_v4,115
glmnet,continuous,poisson,prop_incoming,0.14479560955194964,0.01646957988690702,features_cell_v1_network_v4,116
glmnet,continuous,poisson,prop_bidirectional,0.14479560955194964,0.01646957988690702,features_cell_v1_network_v4,117
glmnet,continuous,poisson,all_incoming,0.08696161751907569,0.01523091060323345,features_cell_v1_network_v4,118
glmnet,continuous,poisson,all_outgoing,0.08647125563745045,0.01276662322465873,features_cell_v1_network_v4,119
glmnet,continuous,poisson,all_bidirectional,0.08647125563745045,0.012786991938408848,features_cell_v1_network_v4,120
glmnet,continuous,normal,raw_incoming,0.049517612323218246,0.010675706973321297,features_cell_v1_network_v4,121
glmnet,continuous,normal,raw_outgoing,0.03130649394890347,0.0126031733649176,features_cell_v1_network_v4,122
glmnet,continuous,normal,raw_bidirectional,0.048074724828327524,0.013249860443753474,features_cell_v1_network_v4,123
glmnet,continuous,normal,prop_incoming,0.1448023826710532,0.016546767107668708,features_cell_v1_network_v4,124
glmnet,continuous,normal,prop_bidirectional,0.1448023826710532,0.016546767107668708,features_cell_v1_network_v4,125
glmnet,continuous,normal,all_incoming,0.0845898116333991,0.012927750248415889,features_cell_v1_network_v4,126
glmnet,continuous,normal,all_outgoing,0.09448303586301832,0.012334608644842992,features_cell_v1_network_v4,127
glmnet,continuous,normal,all_bidirectional,0.09448303586301832,0.012430115065398262,features_cell_v1_network_v4,128
glmnet,continuous,poisson,raw_incoming,0.0520700026424739,0.016928846831805962,features_cell_v2_network_v1,129
